long_bias,days,offset,final_equity,total_return_pct,cagr_pct,max_dd_pct,sharpe_ratio,total_trades,win_rate_pct,profit_factor
0,10,3,-100997.50000000173,-106.73316666666676,0.0,107.08259961505398,0.2759365713661096,2404,24.084858569051583,0.5389728139954915
1,7,3,-69482.5000000025,-104.63216666666683,0.0,109.7163020588848,0.0901785307849074,2830,29.89399293286219,0.8017243265242672
2,5,4,-75464.99999999037,-105.03099999999937,0.0,114.33581714701518,-0.31341419243138646,3320,30.993975903614455,0.8972480400195432
1,6,3,-50857.499999995605,-103.39049999999969,0.0,110.10318976174491,0.21674292783234209,2887,30.031174229303776,0.8538514686425671
1,5,3,-36914.999999996064,-102.46099999999973,0.0,105.89769517765602,-0.21382847949615424,3051,32.12061619141265,0.8977556773891697
0,10,5,-156524.99999999985,-110.43499999999999,0.0,110.4491888895611,0.09399144453586786,2433,24.537607891491987,0.5531118684953317
1,6,4,-37142.50000000482,-102.47616666666698,0.0,146.06437026503613,0.026699378496106128,3251,29.252537680713626,0.8442617301465379
0,9,5,-62129.99999999895,-104.14199999999994,0.0,106.44050284139823,0.20022769819725872,2602,24.711760184473484,0.6464072819507071
0,8,5,-36827.500000001324,-102.45516666666677,0.0,106.29852380130134,0.39653795934199226,2658,24.078254326561325,0.6190070958850935
0,7,5,-88535.00000000233,-105.9023333333335,0.0,109.97808953857235,-0.26222455552776913,2838,26.814658210007046,0.7094134157612109
0,5,4,-52680.000000000335,-103.51200000000003,0.0,116.23147996451328,-0.36012279990163765,2994,28.1563126252505,0.7449482578521195
0,6,4,-38422.500000003434,-102.56150000000024,0.0,112.51245975641915,-0.11268583971861074,2869,26.559776925758104,0.7019622839710944
0,7,4,-33942.4999999966,-102.2628333333331,0.0,106.40557258109904,-0.0389506113280938,2564,24.648985959438377,0.604688229138764
0,6,5,-35729.99999999649,-102.38199999999978,0.0,111.83149038019464,0.25570805877110153,3003,27.605727605727605,0.8074392710523849
0,10,4,-150839.99999999965,-110.05599999999998,0.0,109.8212858211771,-0.003559528140354326,2358,22.7735368956743,0.4793091165333052
0,9,4,-70245.00000000163,-104.6830000000001,0.0,107.88926043326693,-0.37968062040376743,2435,25.503080082135526,0.5556632926857688
1,5,4,-65887.49999999609,-104.39249999999973,0.0,119.5523689880295,-0.3125172811635127,3212,30.759651307596513,0.829957983101869
1,7,4,-58474.99999999822,-103.8983333333332,0.0,115.57326638681158,-0.1594741035468079,2816,28.302556818181817,0.7490360016855753
1,8,4,-52205.00000000231,-103.48033333333349,0.0,114.14966140649543,0.040936290703114754,3027,28.410967955071026,0.7479311722940509
2,10,3,-40312.50000000525,-102.68750000000036,0.0,102.96662883862233,-0.15020694381531907,2907,31.51014791881665,0.8519116906084516
2,9,3,-42279.999999995765,-102.81866666666639,0.0,102.09710129902503,0.25629417286983613,2672,33.23353293413174,0.8781909184423908
2,8,3,-63152.50000000456,-104.21016666666698,0.0,105.07406748708445,0.09953280809586194,2914,32.25806451612903,0.8700703470024589
2,7,3,-76397.50000002346,-105.09316666666824,0.0,107.99815052401891,0.2351659728224759,2835,31.499118165784836,0.8888829115951353
2,6,3,-26857.50000001456,-101.79050000000099,0.0,105.18656314858981,-0.126996398843242,2840,31.37323943661972,0.9185779676612829
0,6,3,-39945.000000008265,-102.66300000000055,0.0,108.77985569135662,-0.3117393788075464,2864,26.39664804469274,0.7568022110941319
2,5,3,-13302.500000003165,-100.88683333333354,0.0,102.30194316180562,0.044838517897050706,2862,33.33333333333333,0.9428510412525576
2,4,3,-21027.49999998296,-101.40183333333219,0.0,101.74489169867647,-0.2556416927061452,3063,31.76624224616389,0.9258355497052513
1,10,5,-12215.000000005748,-100.81433333333372,0.0,115.65449831620016,0.41547684921933603,2573,28.915662650602407,0.7202728636649085
1,9,5,-9015.00000000016,-100.60100000000001,0.0,115.36507108974237,-0.36233655849120433,2656,29.668674698795183,0.7876721999650168
1,8,5,-33807.49999999837,-102.25383333333322,0.0,107.67637440672789,0.1404022343394956,2820,29.148936170212764,0.7495981248609347
1,7,5,-68905.00000000256,-104.59366666666683,0.0,132.27761269621487,-0.09795877522603409,3004,28.99467376830892,0.8175495578780575
1,6,5,-29944.999999997584,-101.99633333333318,0.0,122.66969160497008,0.1286416673015963,3063,29.350310153444337,0.8698866467096001
0,7,3,-52742.500000002976,-103.51616666666688,0.0,107.32526480457621,0.3163845220123502,2678,24.98132935026139,0.6745876580873452
1,9,4,-8702.500000002845,-100.58016666666686,0.0,109.19631364215641,-0.23805997307068635,2651,30.29045643153527,0.7341902853898318
0,8,3,-38677.49999999983,-102.57849999999999,0.0,105.90688225809204,0.12623270515953108,2529,24.27837089758798,0.6181036818768318
0,9,3,-83109.99999999959,-105.54066666666664,0.0,107.73502276604758,-0.08166862084149548,2581,25.455249903138316,0.6095522564556705
0,8,4,-36822.500000000415,-102.45483333333337,0.0,107.27187546311718,-0.4362520914946375,2439,23.288232882328824,0.5616448610528728
3,10,3,312517.5000000258,-79.16549999999827,-9.636679445956487,101.77477366503169,0.14316746932274416,3271,33.01742586365026,0.9311065408776622
4,10,3,240547.50000003184,-83.96349999999786,-11.15179206261373,100.60173237706331,0.2303755986731946,3207,33.42687870283754,0.948228092506361
5,8,4,114862.49999999635,-92.34250000000024,-15.294805214007145,113.96414970995485,0.3499207125751371,3448,33.874709976798144,0.9585930031737311
4,8,4,106847.50000006851,-92.87683333332876,-15.689696634919681,116.32977607242339,0.2786921447709273,3446,33.60417875798027,0.9520773370505022
3,10,5,75920.0000000099,-94.93866666666602,-17.530526527827327,111.34561429818231,0.05634606012588274,3050,32.36065573770492,0.9058006350704283
5,10,5,9684.999999969048,-99.3543333333354,-27.802416058214718,102.24759518249498,0.14222624911431103,2861,33.27507864383083,0.9409419399407386
3,9,5,9494.999999981083,-99.36700000000125,-27.89476637149393,108.29849145661055,0.2524707371842418,2714,32.57184966838614,0.9253115648007276
4,9,5,7427.499999973137,-99.50483333333511,-29.029664147064928,104.62609054737347,0.3440078264981798,2665,32.72045028142589,0.9465843259336882
4,10,5,7285.0000000360305,-99.51433333333092,-29.1184250108278,105.46362154436531,0.0809485403078596,3006,33.166999334664006,0.9298476670258702
4,8,5,6447.500000022075,-99.57016666666519,-29.675444293595664,118.52362747566995,0.32402746250749204,3088,31.314766839378237,0.9432106947308
5,6,3,4887.499999945903,-99.67416666667027,-30.922739105169374,103.60842460816527,-0.08114283925555248,2930,32.25255972696246,0.9727126111277974
4,7,3,4639.999999970896,-99.6906666666686,-31.15425174028099,106.52184980837427,-0.25132598645969045,2960,32.804054054054056,0.9569773429427737
5,8,3,4240.000000005501,-99.71733333333296,-31.554038606286017,105.86470764245821,-0.4289022170213368,2762,33.92469225199131,0.9583548062894807
5,9,5,3884.999999986954,-99.74100000000087,-31.939585996668065,101.47422775998697,0.22571445425750397,2789,33.34528504840444,0.9552843243838451
2,10,5,3255.000000000582,-99.78299999999997,-32.71309002900846,120.82045184304397,-0.3735074864782571,2832,30.7909604519774,0.8408824654567107
4,9,3,695.000000036518,-99.95366666666423,-39.100907357732105,100.47314418312902,0.2655140032609611,2645,34.7069943289225,0.9511089438514079
5,9,4,344.99999998903513,-99.97700000000073,-41.79488136145206,113.96312094054004,0.2067175691688553,2902,33.42522398345969,0.9513465102435064
3,9,4,164.99999999051215,-99.98900000000064,-44.503325348215796,118.18850521923106,0.3104186216543017,2722,33.28434974283615,0.9141597241878653
