date,equity,equity_no_filter,position,vix,vix_filter,peak,drawdown,peak_no_filter,drawdown_no_filter
2016-09-08 14:45:00,1831542.5000000098,1402340.0000000051,86.0,12.51000023,True,2611005.000000003,29.85296849297463,2917465.0000000005,51.93292807283019
2016-09-09 14:45:00,1576677.5000000098,1209717.5000000051,80.0,17.5,True,2611005.000000003,39.61415240491657,2917465.0000000005,58.535320903592506
2016-09-12 14:45:00,1698632.5000000098,1302712.500000005,77.0,15.15999985,True,2611005.000000003,34.94334557000052,2917465.0000000005,55.347793375413076
2016-09-13 14:45:00,1576622.5000000098,1209217.5000000051,28.0,17.85000038,True,2611005.000000003,39.616258873498595,2917465.0000000005,58.55245906977444
2016-09-14 14:45:00,1574817.5000000098,1207852.5000000051,1.0,18.13999939,True,2611005.000000003,39.68538934241765,2917465.0000000005,58.59924626345116
2016-09-15 14:45:00,1575697.50000001,1207687.5000000051,14.0,16.29999924,True,2611005.000000003,39.6516858451053,2917465.0000000005,58.60490185829119
2016-09-16 14:45:00,1568667.50000001,1202180.0000000056,51.0,15.36999989,True,2611005.000000003,39.92093082931636,2917465.0000000005,58.793678758785276
2016-09-19 14:45:00,1569897.50000001,1203125.0000000056,48.0,15.52999973,True,2611005.000000003,39.87382253193662,2917465.0000000005,58.761287624701396
2016-09-20 14:45:00,1571052.50000001,1204005.0000000056,45.0,15.92000008,True,2611005.000000003,39.82958669171418,2917465.0000000005,58.73112445222118
2016-09-21 14:45:00,1623822.50000001,1243880.0000000056,38.0,13.30000019,True,2611005.000000003,37.80852583583684,2917465.0000000005,57.36435569921129
2016-09-22 14:45:00,1649382.50000001,1263380.0000000056,32.0,12.02000046,True,2611005.000000003,36.829592436628495,2917465.0000000005,56.69596721811554
2016-09-23 14:45:00,1630922.50000001,1249535.0000000058,28.0,12.28999996,True,2611005.000000003,37.5365998916123,2917465.0000000005,57.170523039693514
2016-09-26 14:45:00,1605237.5000000107,1230252.5000000063,37.0,14.5,True,2611005.000000003,38.52032071941613,2917465.0000000005,57.831456418500096
2016-09-27 14:45:00,1630152.5000000107,1249797.5000000065,41.0,13.10000038,True,2611005.000000003,37.56609045176057,2917465.0000000005,57.16152550244797
2016-09-28 14:45:00,1653155.0000000105,1267190.0000000065,37.0,12.39000034,True,2611005.000000003,36.68510784161621,2917465.0000000005,56.56537439180911
2016-09-29 14:45:00,1616125.0000000105,1239175.0000000065,35.0,14.02000046,True,2611005.000000003,38.10333568874787,2917465.0000000005,57.52562584298333
2016-09-30 14:45:00,1645377.500000011,1261742.5000000068,39.0,13.28999996,True,2611005.000000003,36.98298164882836,2917465.0000000005,56.75209471236137
2016-10-03 14:45:00,1631652.5000000105,1251182.5000000072,44.0,13.56999969,True,2611005.000000003,37.50864130861455,2917465.0000000005,57.11405278212397
2016-10-04 14:45:00,1609562.5000000105,1234107.5000000075,38.0,13.63000011,True,2611005.000000003,38.354675690011746,2917465.0000000005,57.69932115723728
2016-10-05 14:45:00,1627537.5000000102,1247822.5000000075,33.0,12.98999977,True,2611005.000000003,37.666243457978496,2917465.0000000005,57.229221258866616
2016-10-06 14:45:00,1629982.5000000102,1249682.5000000075,31.0,12.84000015,True,2611005.000000003,37.57260135465047,2917465.0000000005,57.16546728066979
2016-10-07 14:45:00,1617940.0000000102,1240352.500000007,33.0,13.47999954,True,2611005.000000003,38.03382222554118,2917465.0000000005,57.48526546162485
2016-10-10 14:45:00,1635662.5000000102,1254327.500000007,34.0,13.38000011,True,2611005.000000003,37.355060599270836,2917465.0000000005,57.00625371683956
2016-10-11 14:45:00,1590157.5000000102,1219537.5000000072,32.0,15.35999966,True,2611005.000000003,39.09787610517756,2917465.0000000005,58.19872731977909
2016-10-12 14:45:00,1594257.5000000107,1222750.000000007,52.0,15.90999985,True,2611005.000000003,38.94084844724507,2917465.0000000005,58.08861460206012
2016-10-13 14:45:00,1575362.5000000107,1208220.000000007,55.0,16.69000053,True,2611005.000000003,39.66451615374122,2917465.0000000005,58.58664971130736
2016-10-14 14:45:00,1577170.000000011,1209600.000000007,38.0,16.12000084,True,2611005.000000003,39.595289936250246,2917465.0000000005,58.53934837264519
2016-10-17 14:45:00,1564165.0000000107,1199677.5000000075,50.0,16.20999908,True,2611005.000000003,40.09337400732633,2917465.0000000005,58.879455280525825
2016-10-18 14:45:00,1596025.0000000107,1223902.5000000075,49.0,15.27999973,True,2611005.000000003,38.87315420690466,2917465.0000000005,58.049111129010726
2016-10-19 14:45:00,1610022.500000011,1234752.5000000075,43.0,14.40999985,True,2611005.000000003,38.33705795278028,2917465.0000000005,57.67721292286257
2016-10-20 14:45:00,1601930.0000000102,1228535.0000000077,45.0,13.75,True,2611005.000000003,38.64699608005314,2917465.0000000005,57.89032601933503
2016-10-21 14:45:00,1603055.0000000102,1229395.0000000077,45.0,13.34000015,True,2611005.000000003,38.603909222693616,2917465.0000000005,57.86084837350208
2016-10-24 14:45:00,1623290.0000000105,1244695.0000000077,44.0,13.02000046,True,2611005.000000003,37.828920281653666,2917465.0000000005,57.33642048833465
2016-10-25 14:45:00,1608425.0000000102,1233220.0000000077,45.0,13.46000004,True,2611005.000000003,38.39824129023083,2917465.0000000005,57.72974140221022
2016-10-26 14:45:00,1598285.0000000107,1225555.000000008,46.0,14.23999977,True,2611005.000000003,38.78659749789797,2917465.0000000005,57.99246948977939
2016-10-27 14:45:00,1585620.0000000105,1215915.0000000075,47.0,15.35999966,True,2611005.000000003,39.27165976319429,2917465.0000000005,58.322893333767254
2016-10-28 14:45:00,1570195.000000011,1204095.0000000075,57.0,16.19000053,True,2611005.000000003,39.86242845187928,2917465.0000000005,58.72803958230837
2016-10-31 14:45:00,1568755.000000011,1202980.0000000075,56.0,17.05999947,True,2611005.000000003,39.917579629299475,2917465.0000000005,58.7662576928941
2016-11-01 14:45:00,1525310.000000011,1169610.0000000075,53.0,18.55999947,True,2611005.000000003,41.581498311952316,2917465.0000000005,59.910058903876916
2016-11-02 14:45:00,1490197.500000011,1143110.0000000075,53.0,19.31999969,True,2611005.000000003,42.92628700442897,2917465.0000000005,60.818381711519855
2016-11-03 14:45:00,1466877.500000011,1125990.0000000068,0.0,22.07999992,False,2611005.000000003,43.81942968320592,2917465.0000000005,61.40519252158958
2016-11-04 14:45:00,1466877.500000011,1118550.0000000068,0.0,22.51000023,False,2611005.000000003,43.81942968320592,2917465.0000000005,61.660208434376884
2016-11-07 14:45:00,1466127.500000011,1192030.0000000065,50.0,18.70999908,True,2611005.000000003,43.84815425477893,2917465.0000000005,59.141583532278666
2016-11-08 14:45:00,1490412.5000000114,1211455.0000000063,56.0,18.73999977,True,2611005.000000003,42.91805262724469,2917465.0000000005,58.47576577611021
2016-11-09 14:45:00,1556167.5000000116,1264300.000000006,53.0,14.38000011,True,2611005.000000003,40.39967368886655,2917465.0000000005,56.66443299234075
2016-11-10 14:45:00,1567912.50000001,1273840.000000006,65.0,14.73999977,True,2611005.000000003,39.9498468980332,2917465.0000000005,56.337436781589304
2016-11-11 14:45:00,1553182.5000000098,1262065.0000000063,58.0,14.17000008,True,2611005.000000003,40.51399748372722,2917465.0000000005,56.74104059517403
2016-11-14 14:45:00,1554602.5000000098,1263225.0000000063,56.0,14.47999954,True,2611005.000000003,40.45961229488231,2917465.0000000005,56.70128004963192
2016-11-15 14:45:00,1602857.5000000095,1302870.0000000063,59.0,13.36999989,True,2611005.000000003,38.61147335987454,2917465.0000000005,55.34239485306573
2016-11-16 14:45:00,1592502.5000000095,1294440.0000000063,57.0,13.72000027,True,2611005.000000003,39.00806394472596,2917465.0000000005,55.63134433489327
2016-11-17 14:45:00,1621550.000000009,1317880.0000000068,68.0,13.35000038,True,2611005.000000003,37.89556128770311,2917465.0000000005,54.8279071042838
2016-11-18 14:45:00,1606160.000000009,1305430.0000000068,62.0,12.85000038,True,2611005.000000003,38.48498949638138,2917465.0000000005,55.254647442214164
2016-11-21 14:45:00,1655670.000000009,1345355.000000007,68.0,12.42000008,True,2611005.000000003,36.58878477827475,2917465.0000000005,53.88616487258607
2016-11-22 14:45:00,1669150.000000009,1356250.000000007,60.0,12.40999985,True,2611005.000000003,36.07250847853577,2917465.0000000005,53.51272423148154
2016-11-23 14:45:00,1675120.0000000093,1361020.0000000068,62.0,12.43000031,True,2611005.000000003,35.843860888814554,2917465.0000000005,53.34922612610583
2016-11-28 14:45:00,1669605.0000000102,1356570.0000000063,68.0,13.14999962,True,2611005.000000003,36.05508223844809,2917465.0000000005,53.50175580512513
2016-11-29 14:45:00,1682340.0000000102,1366867.5000000063,67.0,12.89999962,True,2611005.000000003,35.567339013138294,2917465.0000000005,53.14879527260803
2016-11-30 14:45:00,1663032.5000000102,1351312.5000000065,64.0,13.32999992,True,2611005.000000003,36.30680523399961,2917465.0000000005,53.68196362252825
2016-12-01 14:45:00,1636617.5000000105,1329847.5000000065,63.0,14.06999969,True,2611005.000000003,37.31848464480119,2917465.0000000005,54.417705096719025
