final_equity,total_return_pct,cagr_pct,max_dd_pct,sharpe_ratio,total_trades,win_rate_pct,profit_factor,levamount,long_bias,low_vol_offset,low_vol_days,high_vol_offset,high_vol_days
136889487.5000012,9025.965833333414,33.855888915028885,69.84766998772328,0.8012355554957007,3895,37.48395378690629,1.4941896765829414,5,3,3,10,1,5
134594434.99999967,8872.962333333311,33.709760865874095,72.90295068149496,0.7716879807787602,3898,37.01898409440739,1.4376731266308875,18,3,3,9,1,5
134594434.99999967,8872.962333333311,33.709760865874095,72.90295068149496,0.7716879807787602,3898,37.01898409440739,1.4376731266308875,20,3,3,9,1,5
134099065.00000007,8839.93766666667,33.67791457674796,72.32301652857973,0.776810321279568,3887,37.664008232570104,1.4806580185526341,8,3,3,10,1,5
133955185.00000052,8830.345666666703,33.66864421272015,72.9115023167328,0.7712601474386765,3898,37.01898409440739,1.4376109900340024,15,3,3,9,1,5
132759207.50000013,8750.613833333342,33.59122341856975,72.78735996105996,0.7708840444083878,3888,37.31995884773662,1.41894805453738,12,3,4,10,1,5
132758904.99999993,8750.593666666662,33.59120375404139,72.78346779584794,0.7731330631879417,3886,37.26196603190942,1.4382203902617192,10,3,4,10,1,5
129586519.99999984,8539.101333333321,33.38263627158202,72.78726842435822,0.7677603784524325,3888,37.31995884773662,1.3989758861711854,18,3,4,10,1,5
129586519.99999984,8539.101333333321,33.38263627158202,72.78726842435822,0.7677603784524325,3888,37.31995884773662,1.3989758861711854,20,3,4,10,1,5
129078435.00000003,8505.229000000001,33.34878944625941,72.78700887760138,0.7674250285126727,3885,37.2972972972973,1.3989770090823224,15,3,4,10,1,5
126220497.50000025,8314.69983333335,33.15604968766588,72.7166813888733,0.7656338729907426,3886,37.699433865156976,1.4351061886171024,12,3,3,10,1,5
126081429.99999999,8305.428666666665,33.14656714132913,72.70067935744179,0.7677120827156724,3885,37.63191763191763,1.4554818608445705,10,3,3,10,1,5
123143775.00000055,8109.585000000036,32.94393765045438,72.70564956568452,0.7624800180760574,3886,37.72516726711272,1.41375404563978,18,3,3,10,1,5
123143775.00000055,8109.585000000036,32.94393765045438,72.70564956568452,0.7624800180760574,3886,37.72516726711272,1.41375404563978,20,3,3,10,1,5
122735700.00000012,8082.380000000007,32.915433080164355,72.71686223432498,0.7621980563237245,3885,37.70913770913771,1.4138893216226858,15,3,3,10,1,5
72024645.00000007,4701.643000000005,28.416479988482756,62.77317834675442,0.7818488328987055,3867,35.2211016291699,1.5216315644987182,5,2,5,9,1,5
70581567.5000001,4605.437833333341,28.248685643599902,61.61604765099297,0.7793379800055644,3843,35.88342440801457,1.4922542366442078,5,2,4,9,1,5
64991025.00000006,4232.735000000004,27.566820244934153,65.35724142591278,0.7431482179940009,3853,36.04983130028549,1.4475122890810195,8,2,4,9,1,5
64933947.499999896,4228.929833333326,27.559579684973112,65.4336166241795,0.7378412586009245,3849,36.113276175630034,1.4256331722421192,10,2,4,9,1,5
64555830.00000004,4203.7220000000025,27.511462734390758,61.43336384166194,0.7667985041004162,3837,35.861350013031014,1.5068842404706786,5,2,3,9,1,5
64507574.99999991,4200.504999999994,27.505303136355018,66.42119811120702,0.7416817939049655,3852,35.41017653167186,1.4595869580411969,8,2,5,9,1,5
64486027.50000012,4199.068500000008,27.50255127407444,66.46391867351623,0.7364453661433571,3856,35.45124481327801,1.4376980131390527,10,2,5,9,1,5
63063012.500000246,4104.20083333335,27.318884497749018,65.43389062123141,0.730456672546963,3852,36.11111111111111,1.3939990625066434,18,2,4,9,1,5
63063012.500000246,4104.20083333335,27.318884497749018,65.43389062123141,0.730456672546963,3852,36.11111111111111,1.3939990625066434,15,2,4,9,1,5
63063012.500000246,4104.20083333335,27.318884497749018,65.43389062123141,0.730456672546963,3852,36.11111111111111,1.3939990625066434,20,2,4,9,1,5
