final_equity,total_return_pct,cagr_pct,max_dd_pct,sharpe_ratio,total_trades,win_rate_pct,profit_factor,low_vol_bias,high_vol_bias,low_vol_offset,low_vol_days,high_vol_offset,high_vol_days,low_vol_bars,high_vol_bars
4932007.50000004,228.80050000000267,7.992787786830857,90.54579305702073,0.43869699192726713,3819,35.97800471327572,1.0770511215338499,4,0,5,8,2,4,2791,1208
4919745.000000066,227.9830000000044,7.975421778881708,90.14924969857383,0.4609994881551985,3847,35.144268260982585,1.0611953885877072,5,0,4,6,2,4,2791,1208
4918325.000000007,227.88833333333383,7.973408176524144,74.25513027675493,0.4104303556716669,3843,31.693989071038253,1.093258546313518,2,2,3,4,2,6,2791,1208
4895717.500000042,226.3811666666695,7.941276604975456,89.96754806255859,0.5413148251573927,3892,36.8191161356629,1.026278204680271,4,1,5,7,1,2,2791,1208
4869739.999999938,224.64933333332917,7.904183506325979,89.3146128973037,0.4384250241316303,3848,35.23908523908524,1.066967582569661,4,0,4,6,2,4,2791,1208
4858607.499999928,223.90716666666188,7.888230798622087,85.52051228574338,0.4831900418747,3866,35.17847904811175,1.0612214290754074,5,0,4,5,2,3,2791,1208
4847882.499999991,223.19216666666603,7.8728296628306715,91.0123595866214,0.4582363159323053,3761,35.92129752725339,1.0677946564377303,5,0,3,9,2,4,2791,1208
4806405.000000023,220.42700000000158,7.812966319626891,90.89288284300659,0.45761232223614656,3759,35.67438148443735,1.0649144858893613,5,0,4,10,2,4,2791,1208
4803687.500000026,220.24583333333507,7.809027378675593,91.74330940203006,0.4579281470905452,3752,35.634328358208954,1.067293023556793,5,0,5,10,2,4,2791,1208
4801380.000000037,220.09200000000249,7.805681084658289,89.84301151594998,0.43542963898534065,3732,36.38799571275456,1.0735671178537152,4,0,3,9,2,4,2791,1208
4797477.50000012,219.83183333334134,7.8000183261042855,90.00369791682226,0.5251292148222,3867,37.62606671838635,1.0291124893099257,3,1,4,8,1,2,2791,1208
4793680.000000072,219.57866666667144,7.794503790805574,89.97431741698453,0.5254534430174921,3871,36.91552570395247,1.0309481874751152,3,1,5,8,1,2,2791,1208
4793285.000000034,219.5523333333356,7.793929957398582,90.7056542600462,0.538522557776777,3851,37.52272137107245,1.0256503684150715,4,1,3,7,1,2,2791,1208
4788422.500000042,219.22816666666947,7.786862369429204,91.07351094351975,0.5275786972859465,3862,33.195235629207666,1.0248831284636584,2,2,3,4,1,2,2791,1208
4783367.500000004,218.8911666666669,7.7795078641519355,57.343247989024505,0.3792166176038672,3837,33.30727130570759,1.1023521812966026,2,1,3,5,2,7,2791,1208
4765247.500000071,217.68316666667138,7.753085255026915,79.42193163600095,0.43794159160020396,3900,33.33333333333333,1.0595687331733432,5,1,4,5,2,6,2791,1208
4762967.499999961,217.5311666666641,7.749753901523837,84.51430061734571,0.38184124659214336,3831,32.080396763247194,1.056361877369778,2,0,4,5,1,4,2791,1208
4755602.500000051,217.0401666666701,7.738982551951712,91.90590937041408,0.46002468525403667,3881,34.06338572532852,1.0641831358277751,5,0,5,6,2,4,2791,1208
4726205.000000049,215.0803333333366,7.695832536486735,82.55409235857977,0.3796766160533807,3836,34.04588112617309,1.0651997999242564,2,0,3,5,1,4,2791,1208
4721132.5000000335,214.7421666666689,7.688361671065702,91.30339945754999,0.4558490798414843,3759,36.206437882415536,1.0666742114557184,5,0,3,8,2,4,2791,1208
