date,action,qty,price,value,commission,pnl
2025-11-18 07:15:00,SELL,6,6715.25,2014575.0,15.0,-36397.0855614973
2025-11-19 07:15:00,SELL,3,6716.25,1007437.5,7.5,-7.5
2025-11-20 07:15:00,BUY,2,6799.5,679950.0,5.0,-8369.999999999964
2025-11-21 07:15:00,BUY,3,6639.0,995850.0,7.5,11520.000000000055
2025-11-24 07:15:00,BUY,8,6723.25,2689300.0,20.0,-20.0
2025-11-25 07:15:00,SELL,4,6784.0,1356800.0,10.0,12140.0
2025-11-26 07:15:00,BUY,6,6860.75,2058225.0,15.0,-15.0
2025-11-27 07:15:00,SELL,6,6886.0,2065800.0,15.0,24060.0
2025-11-28 07:15:00,BUY,9,6895.0,3102750.0,22.5,-22.5
2025-12-01 07:15:00,SELL,4,6873.5,1374700.0,10.0,1182.3076923076223
2025-12-02 07:15:00,BUY,9,6905.0,3107250.0,22.5,-22.5
2025-12-03 07:15:00,BUY,4,6918.75,1383750.0,10.0,-10.0
2025-12-04 07:15:00,BUY,2,6928.25,692825.0,5.0,-5.0
2025-12-05 07:15:00,SELL,4,6936.0,1387200.0,10.0,8153.782051282033
2025-12-08 07:15:00,SELL,6,6949.25,2084775.0,15.0,16205.673076923049
2025-12-09 07:15:00,BUY,2,6917.5,691750.0,5.0,-5.0
2025-12-10 07:15:00,SELL,4,6914.0,1382800.0,10.0,3195.8092948718695
2025-12-12 07:15:00,SELL,2,6962.0,696200.0,5.0,6397.904647435935
2025-12-15 07:15:00,BUY,12,6923.75,4154250.0,30.0,-30.0
2025-12-16 07:15:00,SELL,4,6872.5,1374500.0,10.0,-7916.450320512704
2025-12-17 07:15:00,BUY,4,6873.5,1374700.0,10.0,-10.0
2025-12-18 07:15:00,SELL,1,6808.75,340437.5,2.5,-4816.319383741202
2025-12-19 07:15:00,BUY,2,6835.25,683525.0,5.0,-5.0
2025-12-22 07:15:00,SELL,9,6918.0,3113100.0,22.5,8546.005933604729
2025-12-23 07:15:00,BUY,2,6927.25,692725.0,5.0,-5.0
2025-12-24 07:15:00,SELL,1,6958.75,347937.5,2.5,2810.2366879893543
2025-12-26 07:15:00,BUY,3,6981.0,1047150.0,7.5,-7.5
2025-12-30 07:15:00,BUY,2,6953.5,695350.0,5.0,-5.0
